,0
0,0.0
1,10911.392
2,5327.6743
3,3520.1196
4,10406.317
5,5460.6616
6,5271.2188
7,9417.827
8,11027.702
9,10195.175
10,10977.359
11,9633.054
12,96.34246
13,15831.067
14,13435.156
15,8134.5083
16,8596.107
17,9155.959
18,5481.9595
19,13603.046
20,9930.032
21,10658.693
22,7789.287
23,15495.206
24,0.0
25,10504.138
26,8724.666
27,13780.258
28,12483.274
29,10504.772
30,0.0
31,7179.33
32,9466.962
33,9800.094
34,8266.625
35,0.0
36,12075.316
37,8390.583
38,13489.658
39,9671.907
40,1722.2872
41,7625.7485
42,9274.68
43,9660.984
44,10260.018
45,11626.022
46,5170.5347
47,13246.443
48,14394.655
49,9416.88
50,10352.185
51,10371.698
52,8462.743
53,0.0
54,8981.461
55,8918.192
56,7812.1865
57,9034.139
58,10593.71
59,0.0
60,9873.401
61,0.0
62,11465.203
63,931.006
64,8299.906
65,7018.973
66,12939.186
67,10613.244
68,5337.9375
69,10413.666
70,9433.69
71,10526.534
72,9399.163
73,9990.21
74,5218.501
75,8040.524
76,14237.089
77,13050.24
78,13116.213
79,8810.419
80,0.0
81,10931.27
82,0.0
83,11842.665
84,0.0
85,79.87018
86,0.0
87,9772.056
88,9642.843
89,10180.682
90,9448.851
91,11455.986
92,11326.487
93,11279.813
94,7688.949
95,7775.771
96,2302.1555
97,11573.251
98,9890.844
99,11638.039
100,10565.651
101,4714.2344
102,9528.027
103,13839.753
104,12284.736
105,3545.645
106,9902.993
107,6921.3755
108,4385.839
109,15794.833
110,11541.606
111,6363.3716
112,0.0
113,10691.371
114,10702.39
115,8655.037
116,10687.766
117,8297.708
118,9745.358
119,10942.135
120,7843.176
121,17963.072
122,10980.958
123,12113.034
124,9347.579
125,0.0
126,103.79407
127,8644.071
128,10056.311
129,14116.327
130,8086.514
131,8296.003
132,11281.67
133,0.0
134,0.0
135,8996.847
136,7361.113
137,11516.31
138,8609.7295
139,12168.749
140,14625.885
141,0.0
142,8464.897
143,12366.592
144,5962.0327
145,10285.27
146,14606.054
147,13830.295
148,11084.114
149,0.0
150,0.0
151,12213.228
152,11395.117
153,11503.004
154,11411.826
155,7148.0996
156,17117.89
157,11160.61
158,0.0
159,9679.083
160,8107.7495
161,7468.683
162,10540.022
163,10042.216
164,0.0
165,2704.8748
166,9299.7705
167,8550.601
168,68.96126
169,9816.19
170,9086.338
171,13561.274
172,0.0
173,275.15384
174,9169.729
175,12119.206
176,10229.052
177,44.404007
178,10603.163
179,2612.9307
180,1674.0583
181,3564.8264
182,9507.721
183,8400.722
184,9644.083
185,9366.881
186,0.0
187,11414.656
188,6998.1104
189,3220.3794
190,9629.417
191,12448.277
192,7786.79
193,10473.809
194,10011.647
195,4288.795
196,7365.266
197,8336.892
198,7876.8677
199,10829.691
200,11778.532
201,10923.776
202,5509.4814
203,17931.025
204,5266.158
205,9478.576
206,8709.71
207,14422.86
208,10533.722
209,0.0
210,7109.3545
211,4382.9507
212,4216.734
213,8957.104
214,13124.206
215,6643.715
216,13093.504
217,210.08221
218,12621.351
219,9208.648
